Type,Size,Trigger,Design,Has_CTA,Position,Content_Type,Category
Notification Bar,Small,Hover,Bold,No,Bottom Left,Help,Less Well-Defined
Fullscreen,Medium,Exit Intent,Modern,No,Bottom Right,Alert,Well-Defined
Modal,Medium,On Load,Soft,No,Center,Alert,Well-Defined
Exit Popup,Medium,Timer,Aggressive,Yes,Center,Survey,Ambiguous
Dialog,Medium,Scroll,Clean,No,Center,Alert,Well-Defined
Notification Bar,Small,On Load,Bold,No,Bottom Left,Discount,Less Well-Defined
Exit Popup,Thin,Hover,Aggressive,Yes,Top,Survey,Ambiguous
Tooltip,Small,Page Load,Basic,No,Top Right,Survey,Ambiguous
Fullscreen,Medium,On Load,Modern,Yes,Bottom Right,Recommendation,Well-Defined
Notification Bar,Small,Timer,Bold,No,Bottom Left,Newsletter,Less Well-Defined
Dialog,Small,Hover,Bold,Yes,Bottom Left,Newsletter,Well-Defined
Banner,Medium,Scroll,Bold,No,Bottom Right,Alert,Well-Defined
Tooltip,Medium,Hover,Basic,No,Top,Survey,Ambiguous
Slide-in,Small,Hover,Basic,No,Top Right,Reminder,Less Well-Defined
Dialog,Large,On Load,Clean,Yes,Full Page,Ad,Well-Defined
Slide-in,Small,On Load,Bold,No,Bottom,Offer,Less Well-Defined
Dialog,Medium,Exit Intent,Modern,Yes,Bottom Right,Recommendation,Well-Defined
Floating Box,Medium,Hover,Intrusive,No,Top,Reminder,Ambiguous
Slide-in,Medium,Timer,Intrusive,Yes,Top Right,Reminder,Ambiguous
Banner,Small,On Load,Bold,No,Top Left,Newsletter,Less Well-Defined
Exit Popup,Small,Timer,Aggressive,Yes,Center,Reminder,Ambiguous
Banner,Medium,Hover,Simple,No,Top Left,Help,Less Well-Defined
Banner,Medium,Click,Soft,No,Full Page,Offer,Well-Defined
Modal,Large,Scroll,Bold,No,Top,Ad,Well-Defined
Banner,Small,On Load,Simple,No,Bottom Left,Help,Less Well-Defined
Floating Box,Thin,Page Load,Intrusive,Yes,Center,Help,Ambiguous
Tooltip,Small,Timer,Aggressive,No,Top,Ad,Ambiguous
Tooltip,Medium,Hover,Flat,No,Top,Ad,Ambiguous
Modal,Large,Click,Modern,Yes,Full Page,Ad,Well-Defined
Modal,Medium,Exit Intent,Soft,No,Full Page,Alert,Well-Defined
Tooltip,Small,Hover,Intrusive,No,Top,Reminder,Ambiguous
Banner,Medium,Timer,Clean,Yes,Bottom,Discount,Less Well-Defined
Slide-in,Small,Timer,Bold,No,Bottom Left,Newsletter,Less Well-Defined
Slide-in,Medium,On Load,Bold,No,Top Left,Offer,Less Well-Defined
Banner,Medium,On Load,Clean,No,Full Page,Alert,Well-Defined
Floating Box,Small,Page Load,Intrusive,Yes,Top,Reminder,Ambiguous
Slide-in,Medium,Page Load,Intrusive,Yes,Top,Survey,Ambiguous
Banner,Small,Timer,Bold,No,Top Left,Offer,Less Well-Defined
Notification Bar,Small,On Load,Bold,Yes,Bottom Left,Offer,Less Well-Defined
Fullscreen,Large,Scroll,Clean,Yes,Full Page,Alert,Well-Defined
Dialog,Large,Click,Bold,No,Full Page,Recommendation,Well-Defined
Slide-in,Medium,On Load,Simple,Yes,Top Left,Offer,Less Well-Defined
Notification Bar,Small,On Load,Bold,Yes,Top Left,Discount,Less Well-Defined
Banner,Small,On Load,Clean,No,Top Left,Offer,Less Well-Defined
Exit Popup,Thin,Hover,Aggressive,Yes,Top Right,Help,Ambiguous
Banner,Medium,Hover,Bold,No,Bottom Left,Newsletter,Less Well-Defined
Exit Popup,Thin,Page Load,Basic,Yes,Center,Survey,Ambiguous
Dialog,Small,Hover,Clean,No,Bottom,Help,Less Well-Defined
Fullscreen,Medium,Scroll,Clean,Yes,Top,Offer,Well-Defined
Modal,Large,Exit Intent,Clean,No,Bottom Right,Alert,Well-Defined
Notification Bar,Small,Timer,Bold,Yes,Bottom Left,Help,Less Well-Defined
Banner,Medium,On Load,Flat,Yes,Bottom Left,Discount,Less Well-Defined
Slide-in,Small,Timer,Bold,Yes,Bottom Left,Offer,Less Well-Defined
Slide-in,Small,On Load,Bold,No,Bottom Left,Newsletter,Less Well-Defined
Banner,Small,Timer,Simple,No,Top Left,Offer,Less Well-Defined
Dialog,Large,Exit Intent,Soft,Yes,Full Page,Ad,Well-Defined
Fullscreen,Medium,Click,Clean,No,Bottom Right,Recommendation,Well-Defined
Slide-in,Medium,Hover,Basic,No,Top,Ad,Ambiguous
Slide-in,Medium,Timer,Simple,No,Bottom Left,Help,Less Well-Defined
Exit Popup,Thin,Timer,Intrusive,Yes,Top Right,Survey,Ambiguous
Notification Bar,Medium,Timer,Clean,Yes,Top Left,Discount,Less Well-Defined
Dialog,Large,Scroll,Clean,No,Top,Recommendation,Well-Defined
Tooltip,Thin,Page Load,Basic,Yes,Top Right,Help,Ambiguous
Slide-in,Medium,Hover,Flat,No,Bottom,Help,Less Well-Defined
Dialog,Small,Hover,Clean,No,Top Left,Help,Less Well-Defined
Slide-in,Small,Page Load,Aggressive,No,Top Right,Ad,Ambiguous
Dialog,Small,Hover,Simple,Yes,Bottom Left,Offer,Less Well-Defined
Tooltip,Small,Page Load,Aggressive,No,Top,Help,Ambiguous
Slide-in,Small,On Load,Simple,Yes,Top Left,Offer,Less Well-Defined
Fullscreen,Large,Click,Bold,Yes,Full Page,Alert,Less Well-Defined
Notification Bar,Medium,Timer,Simple,Yes,Top Left,Discount,Less Well-Defined
Banner,Large,Exit Intent,Soft,No,Full Page,Offer,Well-Defined
Floating Box,Small,Page Load,Aggressive,Yes,Center,Ad,Ambiguous
Tooltip,Small,Hover,Intrusive,Yes,Top,Help,Ambiguous
Slide-in,Medium,Hover,Clean,No,Bottom,Help,Less Well-Defined
Notification Bar,Small,Timer,Flat,Yes,Top Left,Help,Less Well-Defined
Slide-in,Small,Hover,Clean,No,Bottom Left,Discount,Less Well-Defined
Notification Bar,Medium,Timer,Simple,Yes,Bottom Left,Offer,Less Well-Defined
Exit Popup,Small,Page Load,Intrusive,Yes,Top Right,Reminder,Ambiguous
Exit Popup,Small,Page Load,Basic,No,Top Right,Survey,Ambiguous
Slide-in,Small,On Load,Bold,No,Top Left,Newsletter,Less Well-Defined
Banner,Small,Timer,Bold,Yes,Top Left,Offer,Less Well-Defined
Banner,Medium,Click,Clean,No,Top,Ad,Less Well-Defined
Slide-in,Small,Timer,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Slide-in,Medium,Timer,Bold,Yes,Bottom Left,Newsletter,Less Well-Defined
Dialog,Small,On Load,Bold,No,Top Left,Newsletter,Less Well-Defined
Notification Bar,Medium,On Load,Bold,Yes,Top Left,Offer,Less Well-Defined
Slide-in,Medium,On Load,Bold,No,Top Left,Newsletter,Less Well-Defined
Dialog,Medium,Scroll,Soft,Yes,Bottom Right,Alert,Well-Defined
Slide-in,Small,Timer,Flat,No,Top Left,Newsletter,Less Well-Defined
Banner,Medium,Scroll,Modern,Yes,Center,Recommendation,Well-Defined
Fullscreen,Large,Exit Intent,Clean,Yes,Bottom Right,Alert,Well-Defined
Dialog,Large,Scroll,Modern,Yes,Bottom Right,Alert,Well-Defined
Floating Box,Medium,Hover,Basic,Yes,Top,Reminder,Ambiguous
Dialog,Medium,Timer,Clean,Yes,Bottom Left,Help,Less Well-Defined
Banner,Small,On Load,Flat,Yes,Bottom Left,Offer,Less Well-Defined
Banner,Medium,Timer,Bold,Yes,Bottom,Discount,Less Well-Defined
Notification Bar,Medium,On Load,Flat,Yes,Bottom Left,Offer,Less Well-Defined
Exit Popup,Thin,Timer,Aggressive,No,Top,Ad,Ambiguous
Exit Popup,Small,Hover,Basic,Yes,Top,Reminder,Ambiguous
Modal,Large,On Load,Clean,No,Top,Recommendation,Well-Defined
Dialog,Medium,On Load,Soft,No,Full Page,Recommendation,Well-Defined
Dialog,Medium,On Load,Soft,Yes,Center,Alert,Well-Defined
Slide-in,Thin,Timer,Basic,Yes,Top,Ad,Ambiguous
Banner,Medium,Timer,Clean,Yes,Bottom,Offer,Less Well-Defined
Banner,Small,Timer,Simple,No,Bottom,Discount,Less Well-Defined
Dialog,Medium,Click,Clean,Yes,Bottom Right,Ad,Well-Defined
Notification Bar,Medium,On Load,Bold,No,Bottom Left,Discount,Less Well-Defined
Floating Box,Small,Page Load,Aggressive,No,Top,Help,Ambiguous
Banner,Small,On Load,Simple,Yes,Top Left,Discount,Less Well-Defined
Slide-in,Small,Hover,Simple,Yes,Bottom,Help,Less Well-Defined
Banner,Medium,Scroll,Bold,No,Top,Alert,Well-Defined
Banner,Small,On Load,Simple,No,Bottom Left,Discount,Less Well-Defined
Dialog,Small,On Load,Flat,Yes,Top Left,Offer,Less Well-Defined
Modal,Large,Exit Intent,Clean,Yes,Center,Recommendation,Well-Defined
Modal,Large,Scroll,Soft,No,Bottom Right,Recommendation,Well-Defined
Notification Bar,Small,Timer,Simple,Yes,Top Left,Discount,Less Well-Defined
Modal,Large,On Load,Clean,No,Bottom Right,Offer,Well-Defined
Banner,Small,On Load,Simple,Yes,Top Left,Help,Less Well-Defined
Modal,Medium,On Load,Soft,Yes,Full Page,Recommendation,Ambiguous
Dialog,Medium,Timer,Simple,No,Bottom,Help,Less Well-Defined
Modal,Medium,Click,Soft,No,Full Page,Alert,Well-Defined
Notification Bar,Small,Hover,Simple,Yes,Bottom,Discount,Less Well-Defined
Slide-in,Thin,Page Load,Aggressive,Yes,Top Right,Ad,Ambiguous
Notification Bar,Medium,On Load,Simple,No,Bottom Left,Offer,Less Well-Defined
Notification Bar,Medium,Timer,Bold,Yes,Bottom Left,Offer,Less Well-Defined
Modal,Medium,Scroll,Modern,No,Center,Ad,Well-Defined
Modal,Large,Scroll,Soft,Yes,Top,Offer,Well-Defined
Tooltip,Small,Page Load,Intrusive,Yes,Top,Reminder,Ambiguous
Floating Box,Medium,Hover,Intrusive,No,Top,Survey,Ambiguous
Tooltip,Thin,Page Load,Aggressive,Yes,Top Right,Ad,Ambiguous
Banner,Medium,On Load,Simple,No,Bottom Left,Offer,Less Well-Defined
Dialog,Large,Exit Intent,Soft,Yes,Center,Recommendation,Well-Defined
Slide-in,Medium,Page Load,Intrusive,Yes,Top Right,Survey,Ambiguous
Banner,Medium,Timer,Clean,No,Top Left,Discount,Less Well-Defined
Exit Popup,Thin,Page Load,Aggressive,Yes,Top,Survey,Ambiguous
Banner,Medium,Exit Intent,Modern,No,Bottom Right,Recommendation,Well-Defined
Fullscreen,Medium,Exit Intent,Soft,No,Center,Ad,Well-Defined
Banner,Medium,Timer,Flat,Yes,Bottom Left,Discount,Less Well-Defined
Tooltip,Medium,Hover,Flat,No,Top,Reminder,Ambiguous
Tooltip,Thin,Page Load,Intrusive,No,Top,Survey,Ambiguous
Dialog,Large,Click,Bold,No,Top,Ad,Well-Defined
Banner,Medium,On Load,Bold,Yes,Bottom Left,Newsletter,Less Well-Defined
Banner,Small,On Load,Flat,No,Top Left,Offer,Less Well-Defined
Dialog,Large,Scroll,Soft,No,Full Page,Ad,Well-Defined
Modal,Large,Click,Clean,No,Center,Recommendation,Well-Defined
Dialog,Medium,Exit Intent,Clean,Yes,Center,Ad,Well-Defined
Tooltip,Thin,Page Load,Basic,No,Center,Survey,Ambiguous
Modal,Large,Click,Clean,No,Bottom Right,Ad,Well-Defined
Dialog,Medium,On Load,Flat,No,Top Left,Offer,Less Well-Defined
Floating Box,Thin,Timer,Aggressive,No,Top Right,Ad,Ambiguous
Slide-in,Small,On Load,Bold,No,Top Left,Discount,Less Well-Defined
Banner,Medium,Click,Bold,No,Center,Alert,Well-Defined
Tooltip,Small,Hover,Basic,Yes,Top,Survey,Ambiguous
Fullscreen,Medium,Click,Clean,No,Top,Ad,Well-Defined
Slide-in,Medium,Timer,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Tooltip,Small,Hover,Aggressive,No,Top,Survey,Ambiguous
Floating Box,Thin,Page Load,Aggressive,Yes,Center,Survey,Ambiguous
Modal,Large,Click,Bold,Yes,Bottom Right,Alert,Well-Defined
Slide-in,Medium,Timer,Simple,Yes,Bottom,Discount,Less Well-Defined
Modal,Medium,Click,Soft,No,Bottom Right,Ad,Well-Defined
Fullscreen,Medium,Exit Intent,Soft,Yes,Full Page,Alert,Well-Defined
Slide-in,Thin,Hover,Intrusive,No,Center,Reminder,Ambiguous
Notification Bar,Medium,On Load,Bold,Yes,Bottom Left,Discount,Less Well-Defined
Floating Box,Thin,Page Load,Flat,Yes,Top,Ad,Ambiguous
Fullscreen,Medium,Exit Intent,Clean,No,Bottom Right,Ad,Well-Defined
Notification Bar,Small,Timer,Simple,No,Bottom Left,Offer,Less Well-Defined
Banner,Medium,Hover,Clean,Yes,Bottom Left,Help,Well-Defined
Notification Bar,Medium,On Load,Bold,Yes,Bottom Left,Newsletter,Less Well-Defined
Floating Box,Small,Hover,Flat,No,Top,Survey,Ambiguous
Banner,Small,On Load,Simple,Yes,Top Left,Offer,Less Well-Defined
Slide-in,Small,Timer,Clean,Yes,Bottom Left,Help,Ambiguous
Fullscreen,Large,Click,Soft,No,Center,Ad,Well-Defined
Floating Box,Small,Page Load,Intrusive,No,Top Right,Help,Ambiguous
Banner,Medium,Click,Soft,Yes,Full Page,Recommendation,Well-Defined
Dialog,Large,Exit Intent,Soft,No,Bottom Right,Recommendation,Less Well-Defined
Slide-in,Thin,Page Load,Intrusive,Yes,Top Right,Help,Ambiguous
Dialog,Medium,Scroll,Soft,Yes,Top,Offer,Less Well-Defined
Banner,Small,Timer,Bold,Yes,Top Left,Discount,Less Well-Defined
Dialog,Large,Exit Intent,Soft,Yes,Bottom Right,Recommendation,Well-Defined
Floating Box,Thin,Hover,Aggressive,Yes,Top,Survey,Ambiguous
Slide-in,Thin,Hover,Flat,No,Top Right,Help,Ambiguous
Exit Popup,Thin,Hover,Aggressive,No,Top,Reminder,Ambiguous
Floating Box,Small,Hover,Aggressive,No,Top Right,Help,Ambiguous
Dialog,Medium,Scroll,Clean,Yes,Center,Alert,Well-Defined
Fullscreen,Large,On Load,Bold,Yes,Top,Recommendation,Well-Defined
Banner,Large,On Load,Bold,Yes,Center,Offer,Well-Defined
Banner,Medium,Timer,Flat,Yes,Bottom,Discount,Less Well-Defined
Dialog,Large,Click,Modern,Yes,Top,Alert,Well-Defined
Modal,Medium,Exit Intent,Modern,No,Top,Recommendation,Well-Defined
Notification Bar,Small,On Load,Bold,No,Top Left,Offer,Less Well-Defined
Banner,Small,Hover,Clean,No,Bottom,Discount,Less Well-Defined
Banner,Medium,Exit Intent,Modern,Yes,Top,Alert,Ambiguous
Tooltip,Thin,Hover,Aggressive,Yes,Top,Ad,Ambiguous
Tooltip,Thin,Page Load,Aggressive,No,Top,Survey,Ambiguous
Exit Popup,Small,Page Load,Aggressive,Yes,Center,Help,Ambiguous
Slide-in,Small,Hover,Bold,Yes,Bottom Left,Discount,Less Well-Defined
Notification Bar,Medium,Timer,Flat,Yes,Bottom Left,Discount,Less Well-Defined
Dialog,Large,Scroll,Soft,Yes,Center,Ad,Well-Defined
Fullscreen,Large,Scroll,Modern,No,Full Page,Alert,Well-Defined
Dialog,Small,Hover,Bold,No,Bottom Left,Newsletter,Less Well-Defined
Slide-in,Medium,On Load,Bold,Yes,Top Left,Newsletter,Less Well-Defined
Exit Popup,Small,Page Load,Intrusive,Yes,Top Right,Survey,Ambiguous
Modal,Large,Exit Intent,Clean,Yes,Bottom Right,Alert,Well-Defined
Slide-in,Medium,Hover,Intrusive,No,Center,Survey,Ambiguous
Notification Bar,Small,Timer,Bold,Yes,Bottom Left,Discount,Less Well-Defined
Fullscreen,Medium,Scroll,Clean,No,Bottom Right,Ad,Well-Defined
Modal,Large,Exit Intent,Modern,No,Center,Ad,Well-Defined
Exit Popup,Thin,Hover,Basic,No,Top Right,Reminder,Ambiguous
Slide-in,Small,On Load,Clean,Yes,Top Left,Offer,Less Well-Defined
Modal,Large,Exit Intent,Soft,Yes,Center,Ad,Well-Defined
Exit Popup,Medium,Hover,Intrusive,No,Top,Survey,Ambiguous
Dialog,Medium,Scroll,Modern,No,Center,Recommendation,Well-Defined
Modal,Medium,On Load,Modern,No,Bottom Right,Offer,Well-Defined
Dialog,Medium,On Load,Modern,Yes,Top,Offer,Well-Defined
Slide-in,Medium,Hover,Flat,Yes,Top Left,Discount,Less Well-Defined
Banner,Small,On Load,Bold,Yes,Bottom Left,Offer,Less Well-Defined
Exit Popup,Thin,Page Load,Intrusive,No,Center,Survey,Ambiguous
Slide-in,Medium,Hover,Aggressive,Yes,Top Right,Reminder,Ambiguous
Notification Bar,Small,Timer,Bold,Yes,Top Left,Offer,Less Well-Defined
Tooltip,Medium,Timer,Flat,No,Center,Reminder,Ambiguous
Slide-in,Medium,On Load,Flat,Yes,Bottom Left,Discount,Less Well-Defined
Exit Popup,Small,Timer,Basic,Yes,Center,Ad,Ambiguous
Dialog,Medium,Scroll,Modern,Yes,Bottom Right,Recommendation,Well-Defined
Banner,Medium,Timer,Flat,No,Top Left,Help,Less Well-Defined
Fullscreen,Large,Click,Clean,No,Bottom Right,Ad,Well-Defined
Slide-in,Medium,Timer,Flat,Yes,Bottom Left,Offer,Less Well-Defined
Slide-in,Small,Timer,Flat,Yes,Top Left,Offer,Less Well-Defined
Exit Popup,Small,Page Load,Intrusive,Yes,Top Right,Survey,Ambiguous
Banner,Medium,Click,Modern,Yes,Full Page,Offer,Well-Defined
Slide-in,Medium,Hover,Bold,Yes,Top Left,Newsletter,Less Well-Defined
Dialog,Medium,On Load,Clean,No,Bottom,Discount,Well-Defined
Modal,Large,On Load,Clean,No,Top,Offer,Less Well-Defined
Floating Box,Medium,Timer,Intrusive,No,Top Right,Help,Ambiguous
Banner,Large,Scroll,Soft,Yes,Top,Ad,Well-Defined
Banner,Small,Hover,Clean,Yes,Bottom,Newsletter,Less Well-Defined
Modal,Medium,On Load,Bold,Yes,Center,Recommendation,Well-Defined
Dialog,Medium,Scroll,Clean,Yes,Bottom Right,Alert,Well-Defined
Dialog,Medium,Hover,Simple,Yes,Bottom Left,Offer,Less Well-Defined
Slide-in,Medium,On Load,Bold,No,Bottom Left,Discount,Less Well-Defined
Modal,Large,Exit Intent,Bold,No,Full Page,Alert,Well-Defined
Tooltip,Small,Hover,Basic,Yes,Top Right,Help,Ambiguous
Banner,Medium,On Load,Clean,Yes,Full Page,Offer,Well-Defined
Slide-in,Medium,Hover,Basic,No,Top,Ad,Ambiguous
Exit Popup,Small,Hover,Aggressive,No,Top Right,Help,Ambiguous
Exit Popup,Thin,Hover,Aggressive,Yes,Top Right,Help,Ambiguous
Banner,Small,Timer,Simple,Yes,Top Left,Help,Less Well-Defined
Banner,Small,On Load,Flat,Yes,Top Left,Discount,Less Well-Defined
Banner,Small,Hover,Simple,Yes,Bottom Left,Offer,Less Well-Defined
Dialog,Medium,On Load,Clean,Yes,Bottom Left,Newsletter,Less Well-Defined
Dialog,Medium,Scroll,Modern,Yes,Top,Offer,Well-Defined
Dialog,Large,Exit Intent,Soft,Yes,Center,Alert,Well-Defined
Dialog,Medium,Scroll,Clean,Yes,Top,Offer,Well-Defined
Exit Popup,Medium,Page Load,Flat,Yes,Top,Survey,Ambiguous
Modal,Medium,On Load,Soft,Yes,Full Page,Offer,Well-Defined
Notification Bar,Medium,On Load,Bold,Yes,Bottom Left,Newsletter,Less Well-Defined
Notification Bar,Small,On Load,Simple,No,Top Left,Discount,Less Well-Defined
Exit Popup,Small,Timer,Intrusive,No,Top Right,Survey,Ambiguous
Tooltip,Medium,Timer,Basic,No,Top Right,Survey,Ambiguous
Dialog,Large,Exit Intent,Soft,No,Top,Offer,Well-Defined
Floating Box,Thin,Hover,Intrusive,No,Top,Reminder,Ambiguous
Dialog,Medium,Click,Clean,Yes,Center,Ad,Well-Defined
Banner,Small,On Load,Bold,No,Bottom Left,Help,Less Well-Defined
Banner,Small,Timer,Flat,No,Top Left,Offer,Less Well-Defined
Banner,Large,Click,Modern,Yes,Center,Recommendation,Well-Defined
Dialog,Large,Exit Intent,Bold,Yes,Bottom Right,Alert,Well-Defined
Notification Bar,Small,Hover,Flat,No,Top Left,Discount,Less Well-Defined
Dialog,Small,Timer,Flat,Yes,Bottom Left,Help,Less Well-Defined
Exit Popup,Medium,Page Load,Flat,No,Top Right,Survey,Ambiguous
Banner,Large,Scroll,Bold,Yes,Bottom Right,Offer,Well-Defined
Dialog,Medium,Scroll,Soft,Yes,Bottom Right,Alert,Well-Defined
Tooltip,Small,Hover,Aggressive,Yes,Top Right,Ad,Ambiguous
Slide-in,Thin,Hover,Flat,No,Top Right,Help,Ambiguous
Floating Box,Small,Page Load,Basic,No,Top Right,Survey,Ambiguous
Slide-in,Medium,On Load,Clean,Yes,Bottom,Discount,Less Well-Defined
Dialog,Large,Exit Intent,Bold,No,Center,Offer,Well-Defined
Slide-in,Thin,Timer,Basic,No,Center,Reminder,Ambiguous
Tooltip,Thin,Hover,Aggressive,Yes,Top Right,Help,Ambiguous
Tooltip,Small,Page Load,Flat,Yes,Top Right,Reminder,Ambiguous
Modal,Medium,Click,Clean,Yes,Full Page,Ad,Well-Defined
Dialog,Small,On Load,Clean,No,Bottom Left,Offer,Less Well-Defined
Slide-in,Medium,On Load,Bold,Yes,Bottom Left,Offer,Less Well-Defined
Fullscreen,Large,Scroll,Modern,Yes,Bottom Right,Offer,Well-Defined
Dialog,Medium,On Load,Clean,No,Top Left,Newsletter,Less Well-Defined
Banner,Small,Hover,Flat,No,Bottom Left,Offer,Less Well-Defined
Slide-in,Small,Hover,Flat,Yes,Top Left,Help,Less Well-Defined
Floating Box,Small,Hover,Aggressive,No,Top,Help,Ambiguous
Slide-in,Medium,Timer,Aggressive,Yes,Top,Ad,Ambiguous
Slide-in,Medium,Timer,Aggressive,No,Top Right,Help,Ambiguous
Banner,Small,On Load,Simple,Yes,Top Left,Discount,Less Well-Defined
Banner,Medium,On Load,Simple,No,Top Left,Discount,Less Well-Defined
Dialog,Medium,On Load,Clean,Yes,Bottom Right,Recommendation,Well-Defined
Tooltip,Medium,Page Load,Flat,No,Top,Help,Ambiguous
Dialog,Large,Scroll,Modern,Yes,Bottom Right,Recommendation,Well-Defined
Fullscreen,Medium,Exit Intent,Modern,No,Full Page,Ad,Well-Defined
Banner,Medium,Click,Clean,Yes,Full Page,Alert,Well-Defined
Dialog,Medium,Click,Clean,Yes,Bottom Right,Recommendation,Well-Defined
Notification Bar,Small,Timer,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Tooltip,Thin,Hover,Intrusive,Yes,Top,Survey,Ambiguous
Dialog,Small,On Load,Bold,Yes,Bottom Left,Help,Less Well-Defined
Banner,Medium,On Load,Simple,No,Bottom Left,Offer,Ambiguous
Banner,Medium,Scroll,Bold,No,Center,Alert,Well-Defined
Floating Box,Small,Timer,Intrusive,No,Top,Ad,Ambiguous
Floating Box,Thin,Timer,Basic,Yes,Top Right,Survey,Ambiguous
Fullscreen,Large,Exit Intent,Bold,Yes,Center,Alert,Well-Defined
Notification Bar,Small,On Load,Bold,Yes,Bottom,Offer,Less Well-Defined
Banner,Large,Click,Soft,No,Center,Offer,Ambiguous
Dialog,Large,Click,Modern,Yes,Full Page,Offer,Well-Defined
Banner,Medium,Timer,Simple,No,Bottom Left,Discount,Less Well-Defined
Floating Box,Small,Timer,Flat,No,Center,Ad,Ambiguous
Banner,Medium,Timer,Flat,No,Top Left,Discount,Less Well-Defined
Exit Popup,Medium,Page Load,Basic,Yes,Top Right,Reminder,Ambiguous
Tooltip,Small,Timer,Intrusive,Yes,Top Right,Survey,Ambiguous
Slide-in,Medium,On Load,Simple,No,Bottom Left,Offer,Less Well-Defined
Dialog,Small,Timer,Simple,Yes,Top Left,Help,Less Well-Defined
Notification Bar,Medium,Hover,Bold,No,Top Left,Discount,Less Well-Defined
Dialog,Small,Timer,Simple,Yes,Bottom,Offer,Less Well-Defined
Banner,Medium,On Load,Bold,No,Bottom Left,Newsletter,Less Well-Defined
Notification Bar,Medium,Timer,Bold,Yes,Bottom,Discount,Less Well-Defined
Banner,Large,Scroll,Soft,Yes,Center,Recommendation,Well-Defined
Banner,Medium,On Load,Soft,Yes,Full Page,Ad,Well-Defined
Tooltip,Medium,Timer,Intrusive,No,Center,Ad,Less Well-Defined
Notification Bar,Small,Hover,Flat,No,Bottom Left,Newsletter,Less Well-Defined
Dialog,Small,Timer,Simple,Yes,Top Left,Help,Ambiguous
Slide-in,Thin,Timer,Flat,Yes,Top,Survey,Ambiguous
Floating Box,Small,Hover,Aggressive,Yes,Center,Reminder,Ambiguous
Notification Bar,Small,On Load,Flat,Yes,Bottom Left,Newsletter,Less Well-Defined
Slide-in,Small,Timer,Simple,No,Bottom Left,Help,Less Well-Defined
Dialog,Large,Click,Soft,No,Bottom Right,Recommendation,Well-Defined
Exit Popup,Small,Timer,Flat,No,Top,Reminder,Well-Defined
Floating Box,Thin,Page Load,Basic,Yes,Top Right,Reminder,Ambiguous
Slide-in,Medium,Timer,Bold,No,Bottom Left,Newsletter,Less Well-Defined
Floating Box,Small,Hover,Basic,No,Top,Help,Ambiguous
Exit Popup,Thin,Hover,Intrusive,No,Top Right,Survey,Ambiguous
Banner,Small,On Load,Simple,No,Bottom Left,Newsletter,Less Well-Defined
Fullscreen,Medium,On Load,Soft,No,Top,Ad,Less Well-Defined
Banner,Medium,Hover,Bold,Yes,Top Left,Help,Less Well-Defined
Notification Bar,Small,Timer,Simple,No,Top Left,Newsletter,Less Well-Defined
Slide-in,Thin,Timer,Basic,Yes,Center,Ad,Ambiguous
Slide-in,Small,On Load,Flat,Yes,Top Left,Newsletter,Less Well-Defined
Tooltip,Medium,Hover,Intrusive,No,Center,Help,Ambiguous
Dialog,Medium,Hover,Bold,Yes,Top Left,Help,Less Well-Defined
Banner,Medium,Timer,Clean,Yes,Bottom Left,Newsletter,Less Well-Defined
Modal,Medium,Click,Modern,No,Top,Ad,Well-Defined
